year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2021,9,7,il,US,2241472,648874,906436,501012
2021,9,7,in,US,1421310,396871,584436,315157
2021,9,7,ks,US,696851,190504,283210,151326
2021,9,7,ky,US,976236,262953,384590,208102
2021,9,7,la,US,1015070,270537,388415,210413
2021,9,7,ma,US,765065,233606,295611,161578
2021,9,7,mb,CA,23001,13933,23001,13933
2021,9,7,md,US,781099,239743,310414,178241
2021,9,7,me,US,179238,53338,75636,41798
2021,9,7,mi,US,1664283,490059,710582,384436
2021,9,7,mn,US,893611,266029,352564,199995
2021,9,7,mo,US,1538527,416104,594546,325681
2021,9,7,mp,US,12,12,12,12
2021,9,7,ms,US,889758,226254,338130,181798
2021,9,7,mt,US,150150,45515,55839,33532
2021,9,7,nb,CA,9108,5411,9108,5411
2021,9,7,nc,US,2048766,557836,835946,448718
2021,9,7,nd,US,149202,42650,58045,31920
2021,9,7,ne,US,460760,127095,181793,97533
2021,9,7,nh,US,192793,58235,79579,43113
2021,9,7,nj,US,1373810,394289,562557,301135
2021,9,7,nl,CA,6626,3832,6626,3832
2021,9,7,nm,US,269487,83795,103172,59858
2021,9,7,ns,CA,11863,6892,11863,6892
2021,9,7,nt,CA,285,177,285,177
2021,9,7,nu,CA,113,76,113,76
2021,9,7,nv,US,552163,147133,177755,105416
2021,9,7,ny,US,2344937,734258,906187,517034
2021,9,7,oh,US,2244885,629495,932408,502256
2021,9,7,ok,US,1122828,283835,435668,232340
2021,9,7,on,CA,195579,117649,195579,117649
2021,9,7,or,US,545713,172130,205534,128194
2021,9,7,pa,US,1869404,566388,768449,426250
2021,9,7,pe,CA,1700,984,1700,984
2021,9,7,pr,US,6937,5110,3590,3048
2021,9,7,qc,CA,105725,62161,105725,62161
2021,9,7,ri,US,135268,41136,51076,28012
2021,9,7,sc,US,1205666,328839,495157,263809
2021,9,7,sd,US,178742,49557,68286,37905
2021,9,7,sk,CA,19575,11552,19575,11552
2021,9,7,tn,US,1645789,439154,631776,346135
2021,9,7,tx,US,6556978,1675871,2473620,1344292
2021,9,7,ut,US,494556,139607,190932,106742
2021,9,7,va,US,1343494,384368,529209,291584
2021,9,7,vi,US,148,122,0,0
2021,9,7,vt,US,63454,20636,26388,14868
2021,9,7,wa,US,943653,292474,367026,226594
2021,9,7,wi,US,981748,293402,404643,229229
2021,9,7,wv,US,338492,99537,140548,77712
2021,9,7,wy,US,95263,28751,35433,20477
2021,9,7,yt,CA,217,162,217,162
2021,9,8,ALL,"",59937287,16296235,23510097,13046989
2021,9,8,ALL_CA,CA,499176,302976,499176,302976
2021,9,8,ALL_US,US,59438111,15993534,23010921,12744013
2021,9,8,ab,CA,69843,42491,69843,42491
2021,9,8,ak,US,67693,21910,24751,16126
2021,9,8,al,US,1629759,411568,636162,342061
2021,9,8,ar,US,916358,230976,353103,188365
2021,9,8,as,US,2,2,0,0
2021,9,8,az,US,1167406,318001,423286,248452
2021,9,8,bc,CA,61517,38799,61517,38799
2021,9,8,ca,US,4759100,1321414,1725656,1021813
2021,9,8,co,US,916890,259835,325187,188413
2021,9,8,ct,US,460396,137523,187221,101856
2021,9,8,dc,US,69084,30790,15651,9797
2021,9,8,de,US,155702,47930,62061,34650
2021,9,8,fl,US,4252147,1114213,1631480,885141
2021,9,8,ga,US,2601932,683354,1001467,538436
2021,9,8,gu,US,41,37,35,32
2021,9,8,hi,US,211493,54881,63170,41223
2021,9,8,ia,US,807239,219581,321985,171335
2021,9,8,id,US,284741,85042,113645,66746
2021,9,8,il,US,2319511,644953,915042,503772
2021,9,8,in,US,1458102,395647,580707,312910
2021,9,8,ks,US,716567,192804,287768,152295
2021,9,8,ky,US,979107,269702,384523,210184
2021,9,8,la,US,1047492,278128,395980,214573
2021,9,8,ma,US,783326,238638,301432,166161
2021,9,8,mb,CA,23533,13915,23533,13915
2021,9,8,md,US,825018,251032,325676,184808
2021,9,8,me,US,183290,54470,77587,43196
2021,9,8,mi,US,1719436,487100,702835,381711
2021,9,8,mn,US,899968,266749,356372,201585
2021,9,8,mo,US,1569892,418060,601564,328399
2021,9,8,mp,US,10,10,10,10
2021,9,8,ms,US,891695,226438,340665,183013
2021,9,8,mt,US,151532,46533,56929,34395
2021,9,8,nb,CA,8978,5390,8978,5390
2021,9,8,nc,US,2061816,569121,843791,457358
2021,9,8,nd,US,151238,42977,59201,32243
2021,9,8,ne,US,475910,128419,185938,98382
2021,9,8,nh,US,197465,60204,81328,44652
2021,9,8,nj,US,1403637,402370,579235,309312
2021,9,8,nl,CA,6934,3740,6934,3740
2021,9,8,nm,US,276393,85310,104959,61023
2021,9,8,ns,CA,11671,6855,11671,6855
2021,9,8,nt,CA,296,186,296,186
2021,9,8,nu,CA,119,75,119,75
2021,9,8,nv,US,560299,150418,179265,106545
2021,9,8,ny,US,2398771,748513,933009,530650
2021,9,8,oh,US,2282564,636534,935203,506613
2021,9,8,ok,US,1148436,288341,439726,232777
2021,9,8,on,CA,190681,116192,190681,116192
2021,9,8,or,US,562707,176363,210520,130561
2021,9,8,pa,US,1916085,583556,789286,440398
2021,9,8,pe,CA,1708,984,1708,984
2021,9,8,pr,US,5585,4221,3144,2654
2021,9,8,qc,CA,104323,62653,104323,62653
2021,9,8,ri,US,140564,41955,52528,28730
2021,9,8,sc,US,1208814,331417,496381,266718
2021,9,8,sd,US,182783,50158,69534,38089
2021,9,8,sk,CA,19348,11528,19348,11528
2021,9,8,tn,US,1664514,441504,635886,349381
2021,9,8,tx,US,6627566,1695178,2482233,1354137
